instance Boomer-SAT-W2 Boomer-MaxSAT
instance1077 0.001 0.005
instance1078 0.001 0.007
instance1079 0.001 0.003
instance1080 0.001 0.001
instance1081 0.001 0.003
instance1082 0.001 0.002
instance1083 0.001 0.004
instance1084 0.001 0.008
instance1085 0.001 0.01
instance1086 0.001 0.004
instance1087 0.001 0.006
instance1088 0.001 0.007
instance1089 0.001 0.004
instance1090 0.001 0.002
instance1091 0.001 0.003
instance1092 0.001 0.005
instance1093 0.001 0.007
instance1094 0.001 0.007
instance1095 0.001 0.004
instance1096 0.001 0.004
instance1097 0.001 0.008
instance1098 0.001 0.001
instance1099 0.001 0.002
instance1100 0.001 0.004
instance1101 0.001 0.01
instance1102 0.001 0.009
instance1103 0.001 0.004
instance1104 0.001 0.006
instance1105 0.001 0.005
instance1106 0.001 0.007
instance1107 0.001 0.005
instance1108 0.001 0.004
instance1109 0.001 0.003
instance1110 0.001 0.002
instance1111 0.001 0.005
instance1112 0.001 0.003
instance1113 0.001 0.005
instance1114 0.001 0.003
instance1115 0.001 0.005
instance1116 0.001 0.004
instance1117 0.001 0.002
instance1118 0.001 0.006
instance1119 0.001 0.003
instance1120 0.001 0.001
instance1121 0.001 0.002
instance1122 0.001 0.008
instance1123 0.001 0.003
instance1124 0.001 0.001
instance1125 0.001 0.006
instance1126 0.001 0.007
instance1127 0.001 0.004
instance1128 0.001 0.002
instance1129 0.001 0.004
instance1130 0.001 0.005
instance1131 0.001 0.006
instance1132 0.001 0.003
instance1133 0.001 0.007
instance1134 0.001 0.008
instance1135 0.001 0.002
instance1136 0.001 0.005
instance1137 0.001 0.002
instance1138 0.001 0.005
